merchant_id_1,merchant_id_2,mcc_1,mcc_2,district_id_1,district_id_2,performance_label_1,performance_label_2,revenue_quartile_1,revenue_quartile_2,period_revenue_1,period_revenue_2,transaction_quartile_1,transaction_quartile_2,period_transaction_count_1,period_transaction_count_2,customer_count_quartile_1,customer_count_quartile_2,period_distinct_customers_1,period_distinct_customers_2,revenue_change_1,revenue_change_2,transaction_change_1,transaction_change_2,customer_change_1,customer_change_2,difference_in_period_revenue,difference_in_period_transaction,difference_in_period_customers,revenue_slope_1,transaction_slope_1,customer_slope_1,revenue_slope_2,transaction_slope_2,customer_slope_2,customer_slope_test,transaction_slope_test,revenue_slope_test,sum_indicator
2,67,5411,5411,123,38,well-performing,poorly-performing,Q3,Q3,16005.07,13368.94,Q4,Q4,362,333,Q3,Q3,59,63,0.333588044,-0.385141978,0.116022099,-0.054054054,0.13559322,-0.19047619,0.08974362,0.041726619,0.032786885,187.0521678,1.769230769,0.48951049,-74.9058042,0.944055944,-0.066433566,1,1,1,3
2,99,5411,5411,123,42,well-performing,poorly-performing,Q3,Q3,16005.07,9462.67,Q4,Q4,362,299,Q3,Q3,59,91,0.333588044,-0.268989619,0.116022099,-0.267558528,0.13559322,-0.131868132,0.256889697,0.095310136,0.213333333,187.0521678,1.769230769,0.48951049,-94.57104895,-3.195804196,-1.566433566,1,1,1,3
2,100,5411,5411,123,121,well-performing,poorly-performing,Q3,Q3,16005.07,8191.11,Q4,Q4,362,269,Q3,Q3,59,52,0.333588044,-0.222563242,0.116022099,-0.189591078,0.13559322,-0.288461538,0.322941886,0.147385103,0.063063063,187.0521678,1.769230769,0.48951049,-27.36265734,-0.926573427,-0.353146853,1,1,1,3
2,102,5411,5411,123,84,well-performing,poorly-performing,Q3,Q3,16005.07,12570.22,Q4,Q4,362,364,Q3,Q3,59,52,0.333588044,-0.039009659,0.116022099,-0.25,0.13559322,-0.096153846,0.120203504,0.002754821,0.063063063,187.0521678,1.769230769,0.48951049,-2.948391608,-2.192307692,-0.283216783,1,1,1,3
2,415,5411,5411,123,60,well-performing,poorly-performing,Q3,Q3,16005.07,12745.74,Q4,Q4,362,287,Q3,Q3,59,88,0.333588044,-0.025448503,0.116022099,-0.160278746,0.13559322,0,0.113364806,0.115562404,0.197278912,187.0521678,1.769230769,0.48951049,-5.897902098,-1.272727273,-0.255244755,1,1,1,3
2,541,5411,5411,123,123,well-performing,poorly-performing,Q3,Q3,16005.07,8682.02,Q4,Q4,362,302,Q3,Q3,59,70,0.333588044,-0.174739289,0.116022099,-0.221854305,0.13559322,-0.157142857,0.2966348,0.090361446,0.085271318,187.0521678,1.769230769,0.48951049,-42.88255245,-1.933566434,-0.765734266,1,1,1,3
2,555,5411,5411,123,100,well-performing,poorly-performing,Q3,Q3,16005.07,14277.35,Q4,Q4,362,413,Q3,Q3,59,94,0.333588044,-0.174678074,0.116022099,-0.317191283,0.13559322,-0.042553191,0.057053564,0.065806452,0.22875817,187.0521678,1.769230769,0.48951049,-44.62055944,-3.003496503,-0.395104895,1,1,1,3
2,558,5411,5411,123,115,well-performing,poorly-performing,Q3,Q3,16005.07,10299.13,Q4,Q4,362,430,Q3,Q3,59,76,0.333588044,-0.170722187,0.116022099,-0.272093023,0.13559322,0.013157895,0.216921252,0.085858586,0.125925926,187.0521678,1.769230769,0.48951049,-65.33108392,-3.367132867,-0.5,1,1,1,3
2,581,5411,5411,123,42,well-performing,poorly-performing,Q3,Q3,16005.07,11357.69,Q4,Q4,362,466,Q3,Q3,59,74,0.333588044,0.115503241,0.116022099,0.096566524,0.13559322,0.027027027,0.169843247,0.125603865,0.112781955,187.0521678,1.769230769,0.48951049,44.40409091,1.311188811,0.314685315,1,1,1,3
2,758,5411,5411,123,121,well-performing,poorly-performing,Q3,Q3,16005.07,9915.27,Q4,Q4,362,348,Q3,Q3,59,59,0.333588044,0.008480858,0.116022099,-0.094827586,0.13559322,0,0.234942906,0.01971831,0,187.0521678,1.769230769,0.48951049,-4.021223776,-1.416083916,0.458041958,1,1,1,3
2,795,5411,5411,123,12,well-performing,poorly-performing,Q3,Q3,16005.07,14056.08,Q4,Q4,362,307,Q3,Q3,59,75,0.333588044,-0.148736348,0.116022099,-0.250814332,0.13559322,-0.133333333,0.06483418,0.082212257,0.119402985,187.0521678,1.769230769,0.48951049,-106.9592657,-2.56993007,-0.951048951,1,1,1,3
2,1065,5411,5411,123,123,well-performing,poorly-performing,Q3,Q3,16005.07,12346.49,Q4,Q4,362,401,Q3,Q3,59,63,0.333588044,-0.352164866,0.116022099,-0.411471322,0.13559322,-0.253968254,0.12904334,0.051114024,0.032786885,187.0521678,1.769230769,0.48951049,-149.2824476,-5.192307692,-1.84965035,1,1,1,3
2,1090,5411,5411,123,59,well-performing,poorly-performing,Q3,Q3,16005.07,15280.66,Q4,Q4,362,279,Q3,Q3,59,81,0.333588044,-0.451914381,0.116022099,-0.376344086,0.13559322,-0.012345679,0.023154646,0.129485179,0.157142857,187.0521678,1.769230769,0.48951049,-100.0801049,-1.674825175,-0.097902098,1,1,1,3
2,1172,5411,5411,123,121,well-performing,poorly-performing,Q3,Q3,16005.07,14079.33,Q4,Q4,362,413,Q3,Q3,59,54,0.333588044,-0.005643734,0.116022099,-0.12590799,0.13559322,-0.166666667,0.064011248,0.065806452,0.044247788,187.0521678,1.769230769,0.48951049,4.586433566,-1.223776224,0.038461538,1,1,1,3
2,1245,5411,5411,123,115,well-performing,poorly-performing,Q3,Q3,16005.07,10323.5,Q4,Q4,362,288,Q3,Q3,59,65,0.333588044,-0.127168112,0.116022099,-0.180555556,0.13559322,0.015384615,0.215794857,0.113846154,0.048387097,187.0521678,1.769230769,0.48951049,-28.20363636,-1.125874126,-0.111888112,1,1,1,3
2,1249,5411,5411,123,123,well-performing,poorly-performing,Q3,Q3,16005.07,15583.13,Q4,Q4,362,535,Q3,Q3,59,103,0.333588044,0.031244686,0.116022099,-0.037383178,0.13559322,0.029126214,0.01335752,0.192865106,0.271604938,187.0521678,1.769230769,0.48951049,5.49493007,-0.769230769,0.402097902,1,1,1,3
2,1452,5411,5411,123,60,well-performing,poorly-performing,Q3,Q3,16005.07,11577.31,Q4,Q4,362,323,Q3,Q3,59,54,0.333588044,-0.159093952,0.116022099,-0.077399381,0.13559322,-0.240740741,0.160528569,0.056934307,0.044247788,187.0521678,1.769230769,0.48951049,-50.9013986,-0.437062937,-0.472027972,1,1,1,3
2,1595,5411,5411,123,121,well-performing,poorly-performing,Q3,Q3,16005.07,17273.55,Q4,Q4,362,304,Q3,Q3,59,54,0.333588044,-0.081554747,0.116022099,0.026315789,0.13559322,-0.12962963,0.038116965,0.087087087,0.044247788,187.0521678,1.769230769,0.48951049,-46.19321678,-0.244755245,-0.541958042,1,1,1,3
2,1632,5411,5411,123,42,well-performing,poorly-performing,Q3,Q3,16005.07,16312.9,Q4,Q4,362,488,Q3,Q3,59,83,0.333588044,0.047996984,0.116022099,-0.084016393,0.13559322,-0.012048193,0.009525041,0.148235294,0.169014085,187.0521678,1.769230769,0.48951049,30.06548951,-0.248251748,0.29020979,1,1,1,3
2,1817,5411,5411,123,120,well-performing,poorly-performing,Q3,Q3,16005.07,8733.94,Q4,Q4,362,289,Q3,Q3,59,75,0.333588044,0.01218465,0.116022099,-0.117647059,0.13559322,0.026666667,0.29391354,0.112135177,0.119402985,187.0521678,1.769230769,0.48951049,5.757342657,-0.951048951,-0.024475524,1,1,1,3
2,1821,5411,5411,123,4,well-performing,poorly-performing,Q3,Q3,16005.07,18937.12,Q4,Q4,362,331,Q3,Q3,59,62,0.333588044,-0.023800874,0.116022099,-0.021148036,0.13559322,-0.032258065,0.083911455,0.044733045,0.024793388,187.0521678,1.769230769,0.48951049,-17.1520979,-0.024475524,0.153846154,1,1,1,3
2,1823,5411,5411,123,123,well-performing,poorly-performing,Q3,Q3,16005.07,10254.12,Q4,Q4,362,280,Q3,Q3,59,91,0.333588044,-0.014614613,0.116022099,-0.05,0.13559322,-0.098901099,0.219007136,0.127725857,0.213333333,187.0521678,1.769230769,0.48951049,-28.41447552,-1.006993007,-0.346153846,1,1,1,3
2,1974,5411,5411,123,59,well-performing,poorly-performing,Q3,Q3,16005.07,13313.25,Q4,Q4,362,275,Q3,Q3,59,70,0.333588044,-0.129564156,0.116022099,-0.254545455,0.13559322,-0.128571429,0.091813583,0.136577708,0.085271318,187.0521678,1.769230769,0.48951049,-37.53601399,-1.706293706,-0.451048951,1,1,1,3
3,205,5411,5411,160,141,well-performing,poorly-performing,Q2,Q2,5105.47,6258.99,Q3,Q3,237,199,Q1,Q1,22,25,0.435325249,-0.10216185,0.320675105,-0.35678392,0.227272727,-0.36,0.101502403,0.087155963,0.063829787,58.38167832,1.951048951,0.346153846,-15.10171329,-1.555944056,-0.503496503,1,1,1,3
3,326,5411,5411,160,9,well-performing,poorly-performing,Q2,Q2,5105.47,5655.45,Q3,Q3,237,175,Q1,Q1,22,19,0.435325249,-0.103841427,0.320675105,-0.302857143,0.227272727,-0.105263158,0.051109013,0.150485437,0.073170732,58.38167832,1.951048951,0.346153846,3.999965035,-0.688811189,-0.073426573,1,1,1,3
3,352,5411,5411,160,77,well-performing,poorly-performing,Q2,Q2,5105.47,5285.99,Q3,Q3,237,217,Q1,Q1,22,24,0.435325249,-0.027398841,0.320675105,0.078341014,0.227272727,-0.083333333,0.017371957,0.044052863,0.043478261,58.38167832,1.951048951,0.346153846,-2.069545455,0.094405594,-0.332167832,1,1,1,3
3,389,5411,5411,160,42,well-performing,poorly-performing,Q2,Q2,5105.47,5456.16,Q3,Q3,237,205,Q1,Q1,22,20,0.435325249,-0.2461713,0.320675105,-0.097560976,0.227272727,0.05,0.033204155,0.07239819,0.047619048,58.38167832,1.951048951,0.346153846,-23.37437063,-0.643356643,-0.045454545,1,1,1,3
3,702,5411,5411,160,123,well-performing,poorly-performing,Q2,Q2,5105.47,7105.74,Q3,Q3,237,193,Q1,Q1,22,24,0.435325249,-0.049148998,0.320675105,0.046632124,0.227272727,-0.208333333,0.163806044,0.102325581,0.043478261,58.38167832,1.951048951,0.346153846,-11.36195804,0.625874126,-0.251748252,1,1,1,3
3,717,5411,5411,160,82,well-performing,poorly-performing,Q2,Q2,5105.47,4923.83,Q3,Q3,237,201,Q1,Q1,22,14,0.435325249,-0.317606416,0.320675105,-0.36318408,0.227272727,-0.142857143,0.018110935,0.082191781,0.222222222,58.38167832,1.951048951,0.346153846,-44.23272727,-2.157342657,-0.230769231,1,1,1,3
